,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist
76,0.584,0.853,2,-4.596,1,0.0486,0.000836,0.0,0.176,0.715,118.015,audio_features,2l0P9ERrM4S0T0uX9BcX7h,spotify:track:2l0P9ERrM4S0T0uX9BcX7h,https://api.spotify.com/v1/tracks/2l0P9ERrM4S0T0uX9BcX7h,https://api.spotify.com/v1/audio-analysis/2l0P9ERrM4S0T0uX9BcX7h,222507,4,Kick,Def Leppard
77,0.326,0.939,10,-3.454,0,0.254,4.56e-05,0.0202,0.0571,0.485,200.005,audio_features,75KnjXtPMCZf60zlEp5m1D,spotify:track:75KnjXtPMCZf60zlEp5m1D,https://api.spotify.com/v1/tracks/75KnjXtPMCZf60zlEp5m1D,https://api.spotify.com/v1/audio-analysis/75KnjXtPMCZf60zlEp5m1D,198928,4,Skin,Beartooth
78,0.292,0.953,7,-2.262,1,0.121,9.26e-05,1.19e-05,0.115,0.261,179.672,audio_features,1lqTpQzSgGZZ850bimyxMP,spotify:track:1lqTpQzSgGZZ850bimyxMP,https://api.spotify.com/v1/tracks/1lqTpQzSgGZZ850bimyxMP,https://api.spotify.com/v1/audio-analysis/1lqTpQzSgGZZ850bimyxMP,214725,4,New Devil (feat. Maria Brink of In This Moment),Asking Alexandria
79,0.359,0.928,11,-4.915,0,0.147,2.42e-05,0.000687,0.114,0.265,163.976,audio_features,0OzYhueF403FBct7orzGEg,spotify:track:0OzYhueF403FBct7orzGEg,https://api.spotify.com/v1/tracks/0OzYhueF403FBct7orzGEg,https://api.spotify.com/v1/audio-analysis/0OzYhueF403FBct7orzGEg,188769,4,If Tomorrow Never Comes,Bad Wolves
80,0.374,0.853,9,-11.13,0,0.0532,9.48e-05,4.71e-06,0.0663,0.328,98.918,audio_features,6dzyEj20geKV3Khh0nFqbR,spotify:track:6dzyEj20geKV3Khh0nFqbR,https://api.spotify.com/v1/tracks/6dzyEj20geKV3Khh0nFqbR,https://api.spotify.com/v1/audio-analysis/6dzyEj20geKV3Khh0nFqbR,298634,3,Forsaken - The Aftermath,Within Temptation
81,0.52,0.983,4,-2.664,1,0.0859,0.000971,0.016,0.419,0.329,95.962,audio_features,4TWHdkXfyu7gLpAUSyU1X8,spotify:track:4TWHdkXfyu7gLpAUSyU1X8,https://api.spotify.com/v1/tracks/4TWHdkXfyu7gLpAUSyU1X8,https://api.spotify.com/v1/audio-analysis/4TWHdkXfyu7gLpAUSyU1X8,197213,4,Forgotten,Korn
82,0.68,0.639,5,-6.233,0,0.0278,0.017,5.09e-06,0.0398,0.957,106.991,audio_features,0dgAZ1j5irH1FlA5WrpHW4,spotify:track:0dgAZ1j5irH1FlA5WrpHW4,https://api.spotify.com/v1/tracks/0dgAZ1j5irH1FlA5WrpHW4,https://api.spotify.com/v1/audio-analysis/0dgAZ1j5irH1FlA5WrpHW4,164867,4,Wild Child,The Black Keys
83,0.443,0.938,8,-3.01,1,0.106,4.42e-05,5.71e-06,0.32,0.439,169.995,audio_features,5wTfzzRW8ddRdgW2kASbox,spotify:track:5wTfzzRW8ddRdgW2kASbox,https://api.spotify.com/v1/tracks/5wTfzzRW8ddRdgW2kASbox,https://api.spotify.com/v1/audio-analysis/5wTfzzRW8ddRdgW2kASbox,193886,4,when we were young,Architects
84,0.555,0.832,4,-5.96,0,0.0323,0.00967,2.94e-05,0.132,0.3,155.061,audio_features,5g9I9uYUcbvtkAuZXjqGfP,spotify:track:5g9I9uYUcbvtkAuZXjqGfP,https://api.spotify.com/v1/tracks/5g9I9uYUcbvtkAuZXjqGfP,https://api.spotify.com/v1/audio-analysis/5g9I9uYUcbvtkAuZXjqGfP,161592,4,Enemies,The Score
85,0.448,0.969,5,-3.309,0,0.11,0.000129,0.000135,0.0771,0.387,92.512,audio_features,37LTDJrNmWco1qHO1AuZ1r,spotify:track:37LTDJrNmWco1qHO1AuZ1r,https://api.spotify.com/v1/tracks/37LTDJrNmWco1qHO1AuZ1r,https://api.spotify.com/v1/audio-analysis/37LTDJrNmWco1qHO1AuZ1r,215347,4,Circle The Drain,Wage War
86,0.45,0.912,8,-3.957,1,0.0427,3.91e-05,0.0,0.0938,0.772,185.053,audio_features,4KegQTOlL9MRctg4JIeVUl,spotify:track:4KegQTOlL9MRctg4JIeVUl,https://api.spotify.com/v1/tracks/4KegQTOlL9MRctg4JIeVUl,https://api.spotify.com/v1/audio-analysis/4KegQTOlL9MRctg4JIeVUl,196887,4,Congratulations,Simple Plan
87,0.527,0.913,0,-5.314,0,0.0455,0.000107,0.00325,0.095,0.295,117.968,audio_features,5ZZfo37znoAbkxbrt5YvJD,spotify:track:5ZZfo37znoAbkxbrt5YvJD,https://api.spotify.com/v1/tracks/5ZZfo37znoAbkxbrt5YvJD,https://api.spotify.com/v1/audio-analysis/5ZZfo37znoAbkxbrt5YvJD,348333,4,Watcher In The Sky,Ghost
88,0.452,0.668,4,-5.118,0,0.0292,0.00516,1.45e-05,0.112,0.142,142.548,audio_features,2mC33mxgLJN3IT65MGN3B0,spotify:track:2mC33mxgLJN3IT65MGN3B0,https://api.spotify.com/v1/tracks/2mC33mxgLJN3IT65MGN3B0,https://api.spotify.com/v1/audio-analysis/2mC33mxgLJN3IT65MGN3B0,395786,3,Nothing Else Matters,Miley Cyrus
89,0.332,0.9,7,-5.245,1,0.188,0.00096,0.000188,0.203,0.461,171.006,audio_features,68G22FmZ30XgaRh00pKIeV,spotify:track:68G22FmZ30XgaRh00pKIeV,https://api.spotify.com/v1/tracks/68G22FmZ30XgaRh00pKIeV,https://api.spotify.com/v1/audio-analysis/68G22FmZ30XgaRh00pKIeV,207691,4,Futureproof,Nothing But Thieves
90,0.523,0.8,9,-5.243,1,0.101,0.00537,0.0,0.398,0.604,125.886,audio_features,3OtId2P71K4wGAAJk8QCIR,spotify:track:3OtId2P71K4wGAAJk8QCIR,https://api.spotify.com/v1/tracks/3OtId2P71K4wGAAJk8QCIR,https://api.spotify.com/v1/audio-analysis/3OtId2P71K4wGAAJk8QCIR,186847,3,Honeybrains,Royal Blood
91,0.428,0.977,9,-3.233,0,0.119,8.94e-05,0.0,0.683,0.202,113.946,audio_features,6u22WF9zosP5R7qlWsB3cq,spotify:track:6u22WF9zosP5R7qlWsB3cq,https://api.spotify.com/v1/tracks/6u22WF9zosP5R7qlWsB3cq,https://api.spotify.com/v1/audio-analysis/6u22WF9zosP5R7qlWsB3cq,191316,4,Watch Out,Thundermother
92,0.461,0.987,6,-3.044,1,0.215,0.0291,0.0,0.0708,0.511,185.046,audio_features,4RvPDeKtZxooLkO2mXW6gs,spotify:track:4RvPDeKtZxooLkO2mXW6gs,https://api.spotify.com/v1/tracks/4RvPDeKtZxooLkO2mXW6gs,https://api.spotify.com/v1/audio-analysis/4RvPDeKtZxooLkO2mXW6gs,173789,4,Homesick for Hope,zebrahead
93,0.42,0.905,9,-5.419,1,0.0804,0.00016,0.0212,0.253,0.306,127.62,audio_features,1KtXgVTeu3GUXHrOAef6QQ,spotify:track:1KtXgVTeu3GUXHrOAef6QQ,https://api.spotify.com/v1/tracks/1KtXgVTeu3GUXHrOAef6QQ,https://api.spotify.com/v1/audio-analysis/1KtXgVTeu3GUXHrOAef6QQ,236217,4,These Are the Ways,Red Hot Chili Peppers
